,Date,BTC-USD,LTC-USD,NMC-USD,DOGE-USD,XRP-USD,DASH-USD,XMR-USD,XVG-USD,XLM-USD
0,2015-01-01,8036550.0,770693.0,12194.0,306913.0,399022.0,14957.0,25000.0,4.0,20514.0
1,2015-01-02,7860650.0,855392.0,32507.0,356017.0,459956.0,33549.0,34884.0,23.0,55381.0
2,2015-01-03,33054400.0,5193080.0,64712.0,285574.0,2171040.0,62136.0,42366.0,40.0,135921.0
3,2015-01-04,55629100.0,3888140.0,49852.0,379150.0,3801010.0,60683.0,29438.0,6.0,137593.0
4,2015-01-05,43962800.0,10649500.0,10549.0,574552.0,3051930.0,43764.0,35008.0,5.0,144416.0
5,2015-01-06,23245700.0,3242950.0,18997.0,319517.0,1752160.0,31130.0,34747.0,324.0,73403.0
6,2015-01-07,24866800.0,3388950.0,19550.0,383032.0,787462.0,28206.0,21150.0,8.0,84601.0
7,2015-01-08,19982500.0,2924520.0,13068.0,354778.0,823446.0,38890.0,18235.0,230.0,222723.0
8,2015-01-09,18718600.0,1951160.0,5205.0,395032.0,1092300.0,45656.0,15357.0,507.0,83886.0
9,2015-01-10,15264300.0,2911190.0,40580.0,351577.0,1550330.0,65124.0,23213.0,114.0,123545.0
10,2015-01-11,18200800.0,2581500.0,20369.0,168072.0,558120.0,43774.0,12932.0,496.0,40552.0
11,2015-01-12,18880300.0,1738370.0,19044.0,364158.0,560642.0,46532.0,12038.0,1134.0,60808.0
12,2015-01-13,72843904.0,4039950.0,63860.0,541356.0,3113440.0,77956.0,15632.0,487.0,131331.0
13,2015-01-14,97638704.0,4721280.0,74274.0,578144.0,1886420.0,41255.0,20845.0,151.0,181567.0
14,2015-01-15,81773504.0,3487080.0,39208.0,763181.0,2285810.0,31672.0,14019.0,35.0,196676.0
15,2015-01-16,38421000.0,2669280.0,29237.0,512342.0,1651550.0,67351.0,14483.0,69.0,129665.0
16,2015-01-17,23469700.0,1514960.0,2156.0,251985.0,737736.0,29037.0,12834.0,47.0,39285.0
17,2015-01-18,30085100.0,1694820.0,31241.0,302411.0,1170730.0,43795.0,11861.0,19.0,54344.0
18,2015-01-19,18658300.0,728641.0,11437.0,336240.0,1093540.0,53757.0,17060.0,12.0,57052.0
19,2015-01-20,24051100.0,1069660.0,74477.0,344858.0,1029700.0,68855.0,8074.0,120.0,35159.0
20,2015-01-21,29924600.0,1191370.0,13330.0,542117.0,1141990.0,108223.0,10021.0,75.0,65656.0
21,2015-01-22,33544600.0,1660700.0,9684.0,386500.0,1105630.0,73737.0,15643.0,8.0,59947.0
22,2015-01-23,24621700.0,1267530.0,22214.0,285910.0,1080800.0,70270.0,12269.0,17.0,42575.0
23,2015-01-24,24782500.0,4858920.0,46184.0,312520.0,945649.0,51767.0,16130.0,27.0,59006.0
24,2015-01-25,33582700.0,9178540.0,79611.0,335878.0,892182.0,60453.0,24533.0,61.0,69844.0
25,2015-01-26,106794000.0,8803090.0,54716.0,667846.0,3079280.0,110222.0,29144.0,47.0,148296.0
26,2015-01-27,44399000.0,4502690.0,26514.0,378360.0,1316000.0,73397.0,17844.0,49.0,92001.0
27,2015-01-28,44352200.0,3295480.0,13202.0,229336.0,1380280.0,67481.0,16093.0,41.0,30636.0
28,2015-01-29,32213400.0,2191570.0,11472.0,253694.0,1097200.0,67225.0,27625.0,17.0,92086.0
29,2015-01-30,26605200.0,1805110.0,5339.0,218528.0,807399.0,53994.0,21911.0,3.0,41892.0
30,2015-01-31,23348200.0,1205140.0,8811.0,237750.0,557619.0,33035.0,10211.0,13.0,24903.0
31,2015-02-01,29128500.0,2661610.0,11183.0,199772.0,852106.0,296157.0,17051.0,8.0,70975.0
32,2015-02-02,30612100.0,1955370.0,13637.0,186184.0,1482760.0,154511.0,16725.0,35.0,28423.0
33,2015-02-03,40783700.0,2425490.0,9606.0,287036.0,1264170.0,62006.0,11397.0,57.0,38689.0
34,2015-02-04,26594300.0,3683490.0,4477.0,197966.0,625444.0,58636.0,19736.0,188.0,33568.0
35,2015-02-05,22516400.0,4490700.0,8978.0,153575.0,1221720.0,49522.0,13746.0,45.0,48565.0
36,2015-02-06,24435300.0,2332680.0,18948.0,95764.0,1790130.0,40361.0,14473.0,77.0,68194.0
37,2015-02-07,21604200.0,1272440.0,9842.0,99081.0,518284.0,30169.0,12075.0,232.0,15482.0
38,2015-02-08,17145200.0,793432.0,2799.0,93700.0,446888.0,44831.0,11615.0,164.0,20383.0
39,2015-02-09,27791300.0,1412300.0,48121.0,65261.0,625357.0,270445.0,12603.0,233.0,23287.0
40,2015-02-10,21115100.0,1943220.0,38033.0,63312.0,850302.0,238651.0,14973.0,460.0,30401.0
41,2015-02-11,17201900.0,1202390.0,12326.0,67361.0,457627.0,774898.0,23085.0,88.0,20839.0
42,2015-02-12,15206200.0,1073660.0,6366.0,51889.0,542301.0,549894.0,25486.0,113.0,22950.0
43,2015-02-13,42744400.0,2417560.0,35424.0,132778.0,1005470.0,228439.0,12966.0,97.0,20250.0
44,2015-02-14,49732500.0,2967890.0,42550.0,144726.0,816442.0,208369.0,19546.0,264.0,27228.0
45,2015-02-15,56552400.0,3678900.0,27752.0,131126.0,1134340.0,212369.0,13141.0,202.0,29545.0
46,2015-02-16,28153700.0,1766700.0,12413.0,62611.0,391037.0,76067.0,8801.0,121.0,19822.0
47,2015-02-17,27363100.0,1824820.0,12241.0,46406.0,428236.0,103557.0,16775.0,51.0,10247.0
48,2015-02-18,25200800.0,1504230.0,5294.0,41101.0,384700.0,98988.0,33558.0,78.0,11492.0
49,2015-02-19,18270500.0,1117190.0,27548.0,36737.0,308654.0,84624.0,35329.0,94939.0,8162.0
50,2015-02-20,23876700.0,1430460.0,8913.0,43346.0,1036780.0,61415.0,23536.0,47352.0,3263.0
51,2015-02-21,12284200.0,934224.0,4194.0,38389.0,314420.0,110159.0,14275.0,8971.0,3103.0
52,2015-02-22,19527000.0,1413400.0,43133.0,41789.0,587911.0,75804.0,28371.0,12178.0,14027.0
53,2015-02-23,16400000.0,1207240.0,13644.0,42882.0,439387.0,80898.0,82507.0,4476.0,6966.0
54,2015-02-24,14200400.0,941910.0,71418.0,46267.0,627475.0,170477.0,77991.0,10937.0,9284.0
55,2015-02-25,11496200.0,768342.0,9524.0,81036.0,502828.0,134546.0,33340.0,3734.0,11098.0
56,2015-02-26,13619400.0,917184.0,6589.0,62047.0,836544.0,74935.0,31163.0,1127.0,14216.0
57,2015-02-27,44013900.0,2360850.0,37220.0,125456.0,910485.0,118275.0,36994.0,2377.0,27445.0
58,2015-02-28,13949300.0,1026120.0,39811.0,65452.0,520080.0,110988.0,68062.0,1914.0,12332.0
59,2015-03-01,25213700.0,1697220.0,9859.0,91862.0,1496970.0,89917.0,23255.0,3149.0,17782.0
60,2015-03-02,40465700.0,2442300.0,11660.0,82805.0,1284250.0,154771.0,67915.0,1614.0,28398.0
61,2015-03-03,50461300.0,2818220.0,14663.0,119287.0,3050010.0,254781.0,23029.0,4413.0,32142.0
62,2015-03-04,41383000.0,2444050.0,10075.0,109615.0,2851890.0,193537.0,21345.0,7940.0,22570.0
63,2015-03-05,41302400.0,2042170.0,12101.0,91110.0,3088530.0,146630.0,45238.0,866.0,25407.0
64,2015-03-06,28918900.0,1718100.0,2080.0,56866.0,978284.0,73672.0,77668.0,1254.0,22390.0
65,2015-03-07,17825900.0,1176540.0,6632.0,58829.0,1230270.0,45834.0,25259.0,595.0,7589.0
66,2015-03-08,22067900.0,1281400.0,10721.0,66363.0,735996.0,32276.0,39107.0,1520.0,12794.0
67,2015-03-09,59178200.0,2713960.0,13921.0,61623.0,2361390.0,62809.0,110877.0,2855.0,29030.0
68,2015-03-10,67770800.0,4023500.0,18274.0,108727.0,1642070.0,399669.0,182299.0,945.0,17921.0
69,2015-03-11,33963900.0,1945020.0,10620.0,77208.0,755784.0,169890.0,95830.0,355.0,21507.0
70,2015-03-12,32585200.0,2153170.0,6389.0,68716.0,687546.0,108024.0,62621.0,1545.0,42002.0
71,2015-03-13,31421500.0,1702690.0,16394.0,91319.0,701607.0,240126.0,56953.0,657.0,13470.0
