,Ticker,Number of Holdings,Percentage of Assets in Top 10,Beta,Issuer,ESG Score,Annual Dividend Rate in $,Annual Dividend Yield %,Expense Ratio,Inception,Index Tracked,Category,Asset Class,Asset Class Size,Asset Class Style,Region (General),Region (Specific),AUM in Millions $,Shares in Millions,Num of sectors,Sector (General),Sector (Specific)
0,VSMV,73.0,39.74,0.79,Victory Capital,6.34,0.67,1.95,0.0035,6/22/2017,Nasdaq Victory US Multi-Factor Minimum Volatility Index,Volatility Hedged Equity,Equity,Multi-Cap,Blend,North America,U.S.,143.4,4.2,17,,
1,XTL,43.0,37.34,0.94,State Street SPDR,5.49,0.75,0.82,0.0035,1/26/2011,S&P Telecom Select Industry Index,Communications Equities,Equity,Multi-Cap,Blend,North America,U.S.,72.6,0.8,7,Telecom,Broad
3,KESG,144.0,55.38,1.89,KraneShares,5.31,0.15,0.46,0.0059,7/29/2020,MSCI China ESG Leaders 10/40 Index,Foreign Large Cap Equities,Equity,Multi-Cap,Blend,Emerging Asia Pacific,China,11.4,0.3,18,,
4,FVD,195.0,5.61,0.8,First Trust,6.74,0.81,2.24,0.006999999999999999,8/26/2003,Value Line Dividend Index,Large Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,10534.5,290.4,18,,
6,ALTL,101.0,12.15,2.01,Pacer Financial,5.96,0.24,0.6,0.006,6/24/2020,RBS US Large Cap Alternator Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,60.5,1.6,17,,
7,IECS,124.0,56.67,0.72,iShares,5.82,0.65,2.14,0.0018,3/21/2018,NONE,Consumer Staples Equities,Equity,Large-Cap,Blend,North America,U.S.,13.6,0.5,12,Consumer Staples,Broad
9,DJD,28.0,60.08,0.87,Invesco,6.63,1.32,3.21,0.0007,12/16/2015,Dow Jones Industrial Average Yield Weight,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,106.9,2.6,13,,
11,TILT,2098.0,15.51,1.14,FlexShares,4.94,2.16,1.39,0.0025,9/16/2011,Morningstar US Market Factor Tilt Index,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,1518.6,9.8,19,,
12,VYM,411.0,23.86,0.92,Vanguard,6.46,2.91,2.96,0.0006,11/16/2006,FTSE High Dividend Yield Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,33679.6,343.4,19,,
13,UMDD,402.0,55.27,3.58,ProShares,4.84,0.09,0.07,0.0095,2/9/2010,S&P MidCap 400 Index (300%),Leveraged Equities,Equity,Small-Cap,Blend,North America,U.S.,48.0,0.4,0,,
14,DNL,275.0,36.01,0.85,WisdomTree,7.07,1.34,1.78,0.0058,6/16/2006,WisdomTree World ex-US Growth Index,Foreign Large Cap Equities,Equity,Large-Cap,Growth,Broad Asia,Broad,339.2,4.5,20,,
15,KBWR,51.0,30.74,1.37,Invesco,3.29,1.38,2.23,0.0035,11/1/2011,KBW Regional Banking Index,Financials Equities,Equity,Small-Cap,Blend,North America,U.S.,67.0,1.1,2,Financials,Regional Banks
16,XHS,55.0,24.91,1.09,State Street SPDR,5.98,0.22,0.22,0.0035,9/28/2011,S&P Health Care Services Select Industry Index,Health & Biotech Equities,Equity,Multi-Cap,Blend,North America,U.S.,135.2,1.3,9,Healthcare,Healthcare Services
17,QLVD,177.0,22.01,0.73,FlexShares,8.29,0.47,1.77,0.0032,7/15/2019,Northern Trust Developed Markets ex US Quality Low Volatility Index,Volatility Hedged Equity,Equity,Large-Cap,Blend,Developed Markets,Broad,81.9,3.2,20,,
18,ARMR,8.0,100.0,1.1,"Armor Index, Inc.",5.24,0.25,1.13,0.006,2/10/2020,Armor US Equity Index,Large Cap Growth Equities,Equity,Multi-Cap,Blend,North America,U.S.,6.6,0.3,2,Technology,Broad
19,EMSG,443.0,46.12,0.84,DWS,6.1,0.45,1.29,0.002,12/6/2018,MSCI Emerging Markets ESG Leaders Index,Emerging Markets Equities,Equity,Multi-Cap,Blend,Emerging Markets,Broad,13.7,0.4,21,,
20,MXI,105.0,31.83,1.01,iShares,7.36,0.99,1.16,0.0046,9/21/2006,S&P Global Materials Index,Materials,Equity,Large-Cap,Blend,Developed Markets,Broad,720.5,8.5,8,Materials,Broad
