Ticker,pe,pb,pcf,ps,cluster,Category,Fundamental Cluster
SPY,27.93,4.0,16.31,2.74,3,Large Blend,High Fundamental Broad Market
IVV,27.16,3.81,16.08,2.62,3,Large Blend,High Fundamental Broad Market
VTI,27.49,3.81,15.92,2.58,3,Large Blend,High Fundamental Broad Market
VOO,27.94,4.0,16.32,2.75,3,Large Blend,High Fundamental Broad Market
QQQ,34.42,7.93,21.0,4.64,3,Large Growth,High Fundamental Broad Market
VEA,20.35,1.66,9.7,1.31,1,Foreign Large Blend,Mid Fundamentals Broad Market
IEFA,20.87,1.61,9.79,1.28,1,Foreign Large Blend,Mid Fundamentals Broad Market
VWO,18.41,2.09,11.29,1.73,1,Diversified Emerging Mkts,Mid Fundamentals Broad Market
VUG,38.05,9.26,23.78,5.37,3,Large Growth,High Fundamental Broad Market
IEMG,18.8,1.94,10.5,1.5,1,Diversified Emerging Mkts,Mid Fundamentals Broad Market
IWF,35.21,11.28,22.95,4.41,3,Large Growth,High Fundamental Broad Market
VTV,21.12,2.47,11.73,1.8,1,Large Value,Mid Fundamentals Broad Market
IWM,20.28,2.36,9.75,1.37,1,Small Blend,Mid Fundamentals Broad Market
IJR,20.72,1.95,8.8,1.12,2,Small Blend,Low Fundamentals Broad Market
IJH,24.54,2.41,11.46,1.58,1,Mid-Cap Blend,Mid Fundamentals Broad Market
EFA,21.18,1.65,10.02,1.36,1,Foreign Large Blend,Mid Fundamentals Broad Market
VIG,27.17,5.19,16.21,2.14,3,Large Blend,High Fundamental Broad Market
IWD,21.67,2.22,11.84,1.85,1,Large Value,Mid Fundamentals Broad Market
VGT,34.23,9.43,21.42,5.45,3,Technology,High Fundamental Broad Market
VO,26.83,3.32,15.86,2.12,3,Mid-Cap Blend,High Fundamental Broad Market
VXUS,19.73,1.76,10.07,1.4,1,Foreign Large Blend,Mid Fundamentals Broad Market
XLK,34.03,9.77,21.13,6.25,3,Technology,High Fundamental Broad Market
VB,23.23,2.69,12.55,1.74,1,Small Blend,Mid Fundamentals Broad Market
USMV,25.44,4.08,15.3,2.62,3,Large Blend,High Fundamental Broad Market
IVW,34.92,9.34,22.42,4.93,3,Large Growth,High Fundamental Broad Market
ITOT,26.87,3.61,15.45,2.46,3,Large Blend,High Fundamental Broad Market
VYM,20.91,2.39,11.24,1.96,1,Large Value,Mid Fundamentals Broad Market
