Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","47,511,610.65","3.69","47,511,610.65","373,079.00","037833100","US0378331005","2046251","127.35","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","40,988,520.82","3.18","40,988,520.82","158,938.00","594918104","US5949181045","2588173","257.89","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","31,861,821.60","2.48","31,861,821.60","9,520.00","023135106","US0231351067","2000019","3,346.83","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","17,704,521.96","1.38","17,704,521.96","53,446.00","30303M102","US30303M1027","B7TL820","331.26","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","16,496,408.66","1.28","16,496,408.66","6,562.00","02079K107","US02079K1079","BYY88Y7","2,513.93","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","16,194,852.80","1.26","16,194,852.80","6,664.00","02079K305","US02079K3059","BYVY8G0","2,430.20","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","10,596,291.03","0.82","10,596,291.03","66,107.00","46625H100","US46625H1005","2190385","160.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","10,452,294.82","0.81","10,452,294.82","17,138.00","88160R101","US88160R1014","B616C79","609.89","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","9,803,174.49","0.76","9,803,174.49","13,749.00","67066G104","US67066G1040","2379504","713.01","United States","NASDAQ","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","9,554,813.12","0.74","9,554,813.12","57,922.00","478160104","US4781601046","2475833","164.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","8,728,294.08","0.68","8,728,294.08","37,148.00","92826C839","US92826C8394","B2PZN04","234.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","8,707,281.56","0.68","8,707,281.56","30,358.00","084670702","US0846707026","2073390","286.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
