,Category,Fundamental Cluster,Risk Cluster,kmean_env_cluster,Kmean_Social_cluster,Kmean_Gov_cluster
SPY,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
IVV,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
VTI,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
VOO,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
QQQ,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
VEA,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
IEFA,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
VWO,Diversified Emerging Mkts,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
VUG,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
IEMG,Diversified Emerging Mkts,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
IWF,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
VTV,Large Value,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
IWM,Small Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
IJR,Small Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
IJH,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
EFA,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
VIG,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
IWD,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
VGT,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
VO,Mid-Cap Blend,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
VXUS,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
XLK,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
VB,Small Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
USMV,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
IVW,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
ITOT,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
VYM,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
VEU,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
EEM,Diversified Emerging Mkts,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
IWB,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
SCHX,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
XLV,Health,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
IXUS,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
IWR,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
XLF,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
DIA,Large Value,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
