Ticker,Category,Fundamental Cluster,Risk Cluster
SPY,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IVV,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VTI,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VOO,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
QQQ,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VEA,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IEFA,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
VWO,Diversified Emerging Mkts,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
VUG,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IEMG,Diversified Emerging Mkts,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IWF,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VTV,Large Value,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IWM,Small Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IJR,Small Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IJH,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EFA,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
VIG,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IWD,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
VGT,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VO,Mid-Cap Blend,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
VXUS,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
XLK,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VB,Small Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
USMV,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IVW,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
ITOT,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VYM,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
VEU,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EEM,Diversified Emerging Mkts,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IWB,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SCHX,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
XLV,Health,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IXUS,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IWR,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
XLF,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility
DIA,Large Value,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SCHF,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
QUAL,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VV,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IVE,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
XLY,Consumer Cyclical,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SCHB,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
RSP,Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
VBR,Small Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
MDY,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
ARKK,Mid-Cap Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SDY,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
VT,World Stock,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
GDX,Equity Precious Metals,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SCHD,Large Value,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
XLI,Industrials,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
IWP,Mid-Cap Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
DGRO,Large Value,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VGK,Europe Stock,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DVY,,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
VBK,Small Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
