Symbol,kmean_env_cluster
AADR,Low Env_Responsibility
AAXJ,Low Env_Responsibility
ABEQ,Low Env_Responsibility
ACES,High Env_Responsibility
ACIO,High Env_Responsibility
ACSG,Neutral Env_Responsibility
ACSI,Neutral Env_Responsibility
ACTV,Neutral Env_Responsibility
ACVF,Neutral Env_Responsibility
ACWF,Neutral Env_Responsibility
ACWI,High Env_Responsibility
ACWV,Neutral Env_Responsibility
ACWX,Low Env_Responsibility
ADFI,Neutral Env_Responsibility
ADME,High Env_Responsibility
ADRE,Low Env_Responsibility
AESR,High Env_Responsibility
AFIF,Neutral Env_Responsibility
AFK,Low Env_Responsibility
AFLG,High Env_Responsibility
AFMC,Neutral Env_Responsibility
AFSM,Neutral Env_Responsibility
AFTY,Neutral Env_Responsibility
AGG,Neutral Env_Responsibility
AGT,Low Env_Responsibility
AGZ,High Env_Responsibility
AGZD,Neutral Env_Responsibility
AIA,Low Env_Responsibility
AIEQ,High Env_Responsibility
AIIQ,Neutral Env_Responsibility
AIQ,High Env_Responsibility
AIRR,Neutral Env_Responsibility
ALFA,High Env_Responsibility
ALTL,Low Env_Responsibility
ALTY,Neutral Env_Responsibility
AMCA,Neutral Env_Responsibility
AMER,Low Env_Responsibility
AMLP,Neutral Env_Responsibility
AMOM,High Env_Responsibility
ANEW,Neutral Env_Responsibility
ANGL,Low Env_Responsibility
AOA,Neutral Env_Responsibility
AOK,Neutral Env_Responsibility
AOM,Neutral Env_Responsibility
AOR,Neutral Env_Responsibility
ARCM,Neutral Env_Responsibility
ARGT,Low Env_Responsibility
ARKF,High Env_Responsibility
ARKG,Neutral Env_Responsibility
ARKK,High Env_Responsibility
ARKQ,High Env_Responsibility
ARKW,High Env_Responsibility
ARMR,High Env_Responsibility
ASEA,Low Env_Responsibility
ASET,Low Env_Responsibility
ASHR,Neutral Env_Responsibility
ASHX,Neutral Env_Responsibility
AUSF,Neutral Env_Responsibility
AVDE,Low Env_Responsibility
AVDV,Neutral Env_Responsibility
AVEM,Low Env_Responsibility
AVIG,Neutral Env_Responsibility
AVSF,Neutral Env_Responsibility
AVUS,High Env_Responsibility
AVUV,Neutral Env_Responsibility
AWAY,High Env_Responsibility
AWTM,Neutral Env_Responsibility
BATT,High Env_Responsibility
BBAX,Low Env_Responsibility
BBC,Neutral Env_Responsibility
BBCA,Neutral Env_Responsibility
BBEU,Low Env_Responsibility
BBH,Neutral Env_Responsibility
BBIN,Low Env_Responsibility
BBJP,Neutral Env_Responsibility
BBMC,Neutral Env_Responsibility
BBP,Neutral Env_Responsibility
BBRE,Neutral Env_Responsibility
BBSA,Neutral Env_Responsibility
BBSC,Neutral Env_Responsibility
BBUS,High Env_Responsibility
BETZ,Neutral Env_Responsibility
BFIT,Neutral Env_Responsibility
BFOR,Neutral Env_Responsibility
BFTR,Neutral Env_Responsibility
BGRN,Neutral Env_Responsibility
BIB,Neutral Env_Responsibility
BIBL,Neutral Env_Responsibility
BICK,Low Env_Responsibility
BIL,Neutral Env_Responsibility
BILS,Neutral Env_Responsibility
BIV,Neutral Env_Responsibility
BJK,Neutral Env_Responsibility
BKAG,Neutral Env_Responsibility
BKEM,Low Env_Responsibility
BKF,Neutral Env_Responsibility
BKHY,Neutral Env_Responsibility
BKIE,Low Env_Responsibility
BKLC,High Env_Responsibility
BKMC,Neutral Env_Responsibility
BKSB,Neutral Env_Responsibility
BKSE,Neutral Env_Responsibility
BLCN,High Env_Responsibility
BLDG,Neutral Env_Responsibility
BLES,Neutral Env_Responsibility
BLHY,Neutral Env_Responsibility
BLOK,High Env_Responsibility
BLV,Neutral Env_Responsibility
BMED,Neutral Env_Responsibility
BND,Neutral Env_Responsibility
BNDC,Neutral Env_Responsibility
BNDW,Neutral Env_Responsibility
BNDX,Neutral Env_Responsibility
BNE,High Env_Responsibility
BOSS,High Env_Responsibility
BOTZ,High Env_Responsibility
BOUT,High Env_Responsibility
BRF,Neutral Env_Responsibility
BRZU,Low Env_Responsibility
BSAE,Neutral Env_Responsibility
BSBE,Low Env_Responsibility
BSCE,Low Env_Responsibility
BSCL,Neutral Env_Responsibility
BSCM,Neutral Env_Responsibility
BSCN,Neutral Env_Responsibility
BSCO,Neutral Env_Responsibility
BSCP,Neutral Env_Responsibility
BSCQ,Neutral Env_Responsibility
BSCR,Neutral Env_Responsibility
BSCS,Neutral Env_Responsibility
BSCT,Neutral Env_Responsibility
BSCU,Low Env_Responsibility
BSDE,Low Env_Responsibility
BSJL,Neutral Env_Responsibility
BSJM,Neutral Env_Responsibility
BSJN,Low Env_Responsibility
BSJO,Neutral Env_Responsibility
BSJP,Neutral Env_Responsibility
BSJQ,Neutral Env_Responsibility
BSJR,Neutral Env_Responsibility
BSJS,Neutral Env_Responsibility
BSV,Neutral Env_Responsibility
BTEC,Neutral Env_Responsibility
BTEK,High Env_Responsibility
BUG,High Env_Responsibility
BUL,High Env_Responsibility
BUYZ,High Env_Responsibility
BWX,Neutral Env_Responsibility
BYLD,Neutral Env_Responsibility
CACG,High Env_Responsibility
CALF,Neutral Env_Responsibility
CARZ,High Env_Responsibility
CATH,High Env_Responsibility
CBSE,Neutral Env_Responsibility
CBTG,Neutral Env_Responsibility
CCON,High Env_Responsibility
CCOR,Neutral Env_Responsibility
CDC,Neutral Env_Responsibility
CDL,Neutral Env_Responsibility
CEFA,Low Env_Responsibility
CEMB,Low Env_Responsibility
CEY,Low Env_Responsibility
CFA,Neutral Env_Responsibility
CFCV,High Env_Responsibility
CFO,Neutral Env_Responsibility
CGW,Neutral Env_Responsibility
CHB,Neutral Env_Responsibility
CHGX,High Env_Responsibility
CHIC,High Env_Responsibility
CHIE,Low Env_Responsibility
CHIH,Neutral Env_Responsibility
CHII,High Env_Responsibility
CHIK,High Env_Responsibility
CHIL,High Env_Responsibility
CHIM,Low Env_Responsibility
CHIQ,High Env_Responsibility
CHIR,Neutral Env_Responsibility
CHIS,Low Env_Responsibility
CHIU,Low Env_Responsibility
CHIX,High Env_Responsibility
CIBR,High Env_Responsibility
CID,Low Env_Responsibility
CIL,Neutral Env_Responsibility
CIZ,Neutral Env_Responsibility
CLIX,High Env_Responsibility
CLOU,High Env_Responsibility
CLRG,High Env_Responsibility
CN,High Env_Responsibility
CNCR,Neutral Env_Responsibility
CNRG,High Env_Responsibility
CNXT,High Env_Responsibility
CNYA,Neutral Env_Responsibility
COPX,Low Env_Responsibility
CORP,Neutral Env_Responsibility
COWZ,Neutral Env_Responsibility
CPI,Neutral Env_Responsibility
CQQQ,High Env_Responsibility
CRAK,Low Env_Responsibility
CRBN,High Env_Responsibility
CSA,Neutral Env_Responsibility
CSB,Neutral Env_Responsibility
CSD,Low Env_Responsibility
CSF,Neutral Env_Responsibility
CSM,High Env_Responsibility
CSML,Neutral Env_Responsibility
CTEC,High Env_Responsibility
CURE,Neutral Env_Responsibility
CUT,Low Env_Responsibility
CVY,Neutral Env_Responsibility
CWB,High Env_Responsibility
CWEB,Neutral Env_Responsibility
CWI,Low Env_Responsibility
CWS,Neutral Env_Responsibility
CXSE,High Env_Responsibility
CZA,Neutral Env_Responsibility
DALI,High Env_Responsibility
DALT,Neutral Env_Responsibility
DAX,Low Env_Responsibility
DBEF,Low Env_Responsibility
DBEM,Low Env_Responsibility
DBEU,Low Env_Responsibility
DBEZ,Low Env_Responsibility
DBGR,Low Env_Responsibility
DBJP,Neutral Env_Responsibility
DBLV,Neutral Env_Responsibility
DDIV,Neutral Env_Responsibility
DDLS,Neutral Env_Responsibility
DDM,Neutral Env_Responsibility
DDWM,Low Env_Responsibility
DEEF,Neutral Env_Responsibility
DEEP,Neutral Env_Responsibility
DEF,High Env_Responsibility
DEFA,Low Env_Responsibility
DEM,Low Env_Responsibility
DEMZ,High Env_Responsibility
DES,Neutral Env_Responsibility
DEUS,Neutral Env_Responsibility
DEW,Low Env_Responsibility
DFAE,Low Env_Responsibility
DFAI,Low Env_Responsibility
DFAU,High Env_Responsibility
DFE,Neutral Env_Responsibility
DFEN,High Env_Responsibility
DFJ,Neutral Env_Responsibility
DFND,High Env_Responsibility
DFNL,High Env_Responsibility
DFNV,High Env_Responsibility
DGRE,Low Env_Responsibility
