Symbol,Kmean_Social_cluster
AADR,Neutral Social_Responsibility
AAXJ,Neutral Social_Responsibility
ABEQ,Neutral Social_Responsibility
ACES,High Social_Responsibility
ACIO,Low Social_Responsibility
ACSG,Neutral Social_Responsibility
ACSI,Low Social_Responsibility
ACTV,High Social_Responsibility
ACVF,Low Social_Responsibility
ACWF,Neutral Social_Responsibility
ACWI,Low Social_Responsibility
ACWV,Low Social_Responsibility
ACWX,Neutral Social_Responsibility
ADFI,High Social_Responsibility
ADME,Low Social_Responsibility
ADRE,Neutral Social_Responsibility
AESR,Low Social_Responsibility
AFIF,Neutral Social_Responsibility
AFK,Neutral Social_Responsibility
AFLG,Low Social_Responsibility
AFMC,High Social_Responsibility
AFSM,High Social_Responsibility
AFTY,Neutral Social_Responsibility
AGG,High Social_Responsibility
AGT,High Social_Responsibility
AGZ,High Social_Responsibility
AGZD,High Social_Responsibility
AIA,Neutral Social_Responsibility
AIEQ,High Social_Responsibility
AIIQ,High Social_Responsibility
AIQ,Low Social_Responsibility
AIRR,High Social_Responsibility
ALFA,High Social_Responsibility
ALTL,Neutral Social_Responsibility
ALTY,Low Social_Responsibility
AMCA,Neutral Social_Responsibility
AMER,Neutral Social_Responsibility
AMLP,Low Social_Responsibility
AMOM,Low Social_Responsibility
ANEW,Neutral Social_Responsibility
ANGL,Neutral Social_Responsibility
AOA,Low Social_Responsibility
AOK,High Social_Responsibility
AOM,Neutral Social_Responsibility
AOR,Neutral Social_Responsibility
ARCM,Low Social_Responsibility
ARGT,High Social_Responsibility
ARKF,High Social_Responsibility
ARKG,High Social_Responsibility
ARKK,High Social_Responsibility
ARKQ,High Social_Responsibility
ARKW,High Social_Responsibility
ARMR,Low Social_Responsibility
ASEA,Neutral Social_Responsibility
ASET,Low Social_Responsibility
ASHR,Neutral Social_Responsibility
ASHX,Neutral Social_Responsibility
AUSF,Low Social_Responsibility
AVDE,Neutral Social_Responsibility
AVDV,High Social_Responsibility
AVEM,Neutral Social_Responsibility
AVIG,High Social_Responsibility
AVSF,High Social_Responsibility
AVUS,Low Social_Responsibility
AVUV,High Social_Responsibility
AWAY,High Social_Responsibility
AWTM,Low Social_Responsibility
BATT,Low Social_Responsibility
BBAX,Low Social_Responsibility
BBC,High Social_Responsibility
BBCA,Low Social_Responsibility
BBEU,Neutral Social_Responsibility
BBH,High Social_Responsibility
BBIN,Neutral Social_Responsibility
BBJP,Neutral Social_Responsibility
BBMC,High Social_Responsibility
BBP,High Social_Responsibility
BBRE,High Social_Responsibility
BBSA,High Social_Responsibility
BBSC,High Social_Responsibility
BBUS,Low Social_Responsibility
BETZ,Neutral Social_Responsibility
BFIT,High Social_Responsibility
BFOR,High Social_Responsibility
BFTR,High Social_Responsibility
BGRN,High Social_Responsibility
BIB,High Social_Responsibility
BIBL,Neutral Social_Responsibility
BICK,Neutral Social_Responsibility
BIL,High Social_Responsibility
BILS,High Social_Responsibility
BIV,High Social_Responsibility
BJK,Neutral Social_Responsibility
BKAG,High Social_Responsibility
BKEM,Neutral Social_Responsibility
BKF,Neutral Social_Responsibility
BKHY,Neutral Social_Responsibility
BKIE,Neutral Social_Responsibility
BKLC,Low Social_Responsibility
BKMC,High Social_Responsibility
BKSB,Low Social_Responsibility
BKSE,High Social_Responsibility
BLCN,Low Social_Responsibility
BLDG,High Social_Responsibility
BLES,Neutral Social_Responsibility
BLHY,Neutral Social_Responsibility
BLOK,High Social_Responsibility
BLV,Low Social_Responsibility
BMED,High Social_Responsibility
BND,High Social_Responsibility
BNDC,Low Social_Responsibility
BNDW,High Social_Responsibility
BNDX,High Social_Responsibility
BNE,High Social_Responsibility
BOSS,High Social_Responsibility
BOTZ,High Social_Responsibility
BOUT,High Social_Responsibility
BRF,High Social_Responsibility
BRZU,Low Social_Responsibility
BSAE,High Social_Responsibility
BSBE,Neutral Social_Responsibility
BSCE,Neutral Social_Responsibility
BSCL,Low Social_Responsibility
BSCM,Low Social_Responsibility
BSCN,Low Social_Responsibility
BSCO,Low Social_Responsibility
BSCP,Low Social_Responsibility
BSCQ,Low Social_Responsibility
BSCR,Low Social_Responsibility
BSCS,Low Social_Responsibility
BSCT,Low Social_Responsibility
BSCU,Low Social_Responsibility
BSDE,High Social_Responsibility
BSJL,Neutral Social_Responsibility
BSJM,Neutral Social_Responsibility
BSJN,Neutral Social_Responsibility
BSJO,Neutral Social_Responsibility
BSJP,Neutral Social_Responsibility
BSJQ,Neutral Social_Responsibility
BSJR,Neutral Social_Responsibility
BSJS,Neutral Social_Responsibility
BSV,High Social_Responsibility
BTEC,High Social_Responsibility
BTEK,High Social_Responsibility
BUG,High Social_Responsibility
BUL,High Social_Responsibility
BUYZ,High Social_Responsibility
BWX,High Social_Responsibility
BYLD,High Social_Responsibility
CACG,Low Social_Responsibility
CALF,High Social_Responsibility
CARZ,Low Social_Responsibility
CATH,Low Social_Responsibility
CBSE,High Social_Responsibility
CBTG,High Social_Responsibility
CCON,High Social_Responsibility
CCOR,Low Social_Responsibility
CDC,Neutral Social_Responsibility
CDL,Neutral Social_Responsibility
CEFA,Neutral Social_Responsibility
CEMB,Neutral Social_Responsibility
CEY,Neutral Social_Responsibility
CFA,Neutral Social_Responsibility
CFCV,Low Social_Responsibility
CFO,Neutral Social_Responsibility
CGW,High Social_Responsibility
CHB,High Social_Responsibility
CHGX,Neutral Social_Responsibility
CHIC,High Social_Responsibility
CHIE,High Social_Responsibility
CHIH,High Social_Responsibility
CHII,High Social_Responsibility
CHIK,High Social_Responsibility
CHIL,Neutral Social_Responsibility
CHIM,Low Social_Responsibility
CHIQ,Neutral Social_Responsibility
CHIR,Neutral Social_Responsibility
CHIS,Neutral Social_Responsibility
CHIU,Neutral Social_Responsibility
CHIX,Neutral Social_Responsibility
CIBR,High Social_Responsibility
CID,Neutral Social_Responsibility
CIL,Neutral Social_Responsibility
CIZ,Neutral Social_Responsibility
CLIX,Low Social_Responsibility
CLOU,High Social_Responsibility
CLRG,Low Social_Responsibility
CN,Neutral Social_Responsibility
CNCR,High Social_Responsibility
CNRG,High Social_Responsibility
CNXT,High Social_Responsibility
CNYA,Neutral Social_Responsibility
COPX,Low Social_Responsibility
CORP,Low Social_Responsibility
COWZ,Low Social_Responsibility
CPI,High Social_Responsibility
CQQQ,High Social_Responsibility
CRAK,Low Social_Responsibility
CRBN,Low Social_Responsibility
CSA,High Social_Responsibility
CSB,High Social_Responsibility
CSD,Neutral Social_Responsibility
CSF,High Social_Responsibility
CSM,Low Social_Responsibility
CSML,High Social_Responsibility
CTEC,High Social_Responsibility
CURE,High Social_Responsibility
CUT,High Social_Responsibility
CVY,Low Social_Responsibility
CWB,High Social_Responsibility
CWEB,High Social_Responsibility
CWI,Neutral Social_Responsibility
CWS,High Social_Responsibility
CXSE,Neutral Social_Responsibility
CZA,High Social_Responsibility
DALI,High Social_Responsibility
DALT,High Social_Responsibility
DAX,Neutral Social_Responsibility
DBEF,Neutral Social_Responsibility
DBEM,Neutral Social_Responsibility
DBEU,Neutral Social_Responsibility
DBEZ,Neutral Social_Responsibility
DBGR,Neutral Social_Responsibility
DBJP,Neutral Social_Responsibility
DBLV,Low Social_Responsibility
DDIV,High Social_Responsibility
DDLS,High Social_Responsibility
DDM,Low Social_Responsibility
DDWM,Neutral Social_Responsibility
DEEF,Neutral Social_Responsibility
DEEP,High Social_Responsibility
DEF,Low Social_Responsibility
DEFA,Neutral Social_Responsibility
DEM,Low Social_Responsibility
DEMZ,Neutral Social_Responsibility
DES,High Social_Responsibility
DEUS,High Social_Responsibility
DEW,Neutral Social_Responsibility
DFAE,Neutral Social_Responsibility
DFAI,Neutral Social_Responsibility
DFAU,Low Social_Responsibility
DFE,High Social_Responsibility
DFEN,Low Social_Responsibility
DFJ,Neutral Social_Responsibility
DFND,High Social_Responsibility
DFNL,Low Social_Responsibility
DFNV,High Social_Responsibility
DGRE,Neutral Social_Responsibility
DGRO,Low Social_Responsibility
DGRS,High Social_Responsibility
DGRW,Low Social_Responsibility
DGT,Low Social_Responsibility
DHS,Neutral Social_Responsibility
DIA,Low Social_Responsibility
DIAL,High Social_Responsibility
DIG,Low Social_Responsibility
DIM,Neutral Social_Responsibility
DINT,Neutral Social_Responsibility
DIV,Neutral Social_Responsibility
DIVA,High Social_Responsibility
DIVB,Low Social_Responsibility
DIVO,Low Social_Responsibility
DJD,Low Social_Responsibility
DLN,Low Social_Responsibility
DLS,High Social_Responsibility
DMDV,Neutral Social_Responsibility
DMRE,Neutral Social_Responsibility
DMRI,Neutral Social_Responsibility
DMRL,Low Social_Responsibility
DMRM,High Social_Responsibility
DMRS,High Social_Responsibility
DMXF,High Social_Responsibility
DNL,High Social_Responsibility
DOL,Neutral Social_Responsibility
DON,High Social_Responsibility
DOO,Neutral Social_Responsibility
DPST,High Social_Responsibility
DRIV,Low Social_Responsibility
DRN,High Social_Responsibility
DRSK,Low Social_Responsibility
DRW,High Social_Responsibility
DSI,Low Social_Responsibility
DSTL,Low Social_Responsibility
DSTX,Neutral Social_Responsibility
DTD,Low Social_Responsibility
DTEC,High Social_Responsibility
DTH,Neutral Social_Responsibility
DTN,Neutral Social_Responsibility
DURA,Neutral Social_Responsibility
DUSA,Low Social_Responsibility
DUSL,Low Social_Responsibility
DVLU,High Social_Responsibility
DVOL,High Social_Responsibility
DVY,Neutral Social_Responsibility
DVYA,Neutral Social_Responsibility
DVYE,Neutral Social_Responsibility
DWAS,High Social_Responsibility
DWAT,Low Social_Responsibility
DWAW,High Social_Responsibility
DWCR,Neutral Social_Responsibility
DWEQ,High Social_Responsibility
DWFI,High Social_Responsibility
DWLD,Low Social_Responsibility
DWM,Neutral Social_Responsibility
DWMF,Neutral Social_Responsibility
DWPP,Low Social_Responsibility
DWX,Neutral Social_Responsibility
DXGE,Neutral Social_Responsibility
DXJ,Neutral Social_Responsibility
DXJS,Neutral Social_Responsibility
DYHG,Low Social_Responsibility
DYNF,Low Social_Responsibility
EAGG,High Social_Responsibility
EAOA,Low Social_Responsibility
EAOK,High Social_Responsibility
EAOM,High Social_Responsibility
EAOR,Neutral Social_Responsibility
EASG,Neutral Social_Responsibility
EBIZ,Neutral Social_Responsibility
EBLU,High Social_Responsibility
