Symbol,Kmean_Gov_cluster
AADR,Low Gov_Responsibility
AAXJ,Low Gov_Responsibility
ABEQ,High Gov_Responsibility
ACES,Neutral Gov_Responsibility
ACIO,High Gov_Responsibility
ACSG,Low Gov_Responsibility
ACSI,High Gov_Responsibility
ACTV,Neutral Gov_Responsibility
ACVF,High Gov_Responsibility
ACWF,High Gov_Responsibility
ACWI,High Gov_Responsibility
ACWV,High Gov_Responsibility
ACWX,Low Gov_Responsibility
ADFI,High Gov_Responsibility
ADME,High Gov_Responsibility
ADRE,Low Gov_Responsibility
AESR,High Gov_Responsibility
AFIF,Neutral Gov_Responsibility
AFK,Low Gov_Responsibility
AFLG,Neutral Gov_Responsibility
AFMC,Neutral Gov_Responsibility
AFSM,Neutral Gov_Responsibility
AFTY,Low Gov_Responsibility
AGG,High Gov_Responsibility
AGT,Low Gov_Responsibility
AGZ,High Gov_Responsibility
AGZD,High Gov_Responsibility
AIA,Low Gov_Responsibility
AIEQ,Neutral Gov_Responsibility
AIIQ,Low Gov_Responsibility
AIQ,Neutral Gov_Responsibility
AIRR,Neutral Gov_Responsibility
ALFA,Neutral Gov_Responsibility
ALTL,Neutral Gov_Responsibility
ALTY,High Gov_Responsibility
AMCA,High Gov_Responsibility
AMER,Neutral Gov_Responsibility
AMLP,Neutral Gov_Responsibility
AMOM,Neutral Gov_Responsibility
ANEW,Neutral Gov_Responsibility
ANGL,Neutral Gov_Responsibility
AOA,High Gov_Responsibility
AOK,High Gov_Responsibility
AOM,High Gov_Responsibility
AOR,High Gov_Responsibility
ARCM,High Gov_Responsibility
ARGT,Low Gov_Responsibility
ARKF,Neutral Gov_Responsibility
ARKG,Neutral Gov_Responsibility
ARKK,Neutral Gov_Responsibility
ARKQ,Low Gov_Responsibility
ARKW,Neutral Gov_Responsibility
ARMR,High Gov_Responsibility
ASEA,Low Gov_Responsibility
ASET,High Gov_Responsibility
ASHR,Low Gov_Responsibility
ASHX,Low Gov_Responsibility
AUSF,Neutral Gov_Responsibility
AVDE,Low Gov_Responsibility
AVDV,Low Gov_Responsibility
AVEM,Low Gov_Responsibility
AVIG,High Gov_Responsibility
AVSF,High Gov_Responsibility
AVUS,Neutral Gov_Responsibility
AVUV,Neutral Gov_Responsibility
AWAY,Low Gov_Responsibility
AWTM,High Gov_Responsibility
BATT,Low Gov_Responsibility
BBAX,Low Gov_Responsibility
BBC,Neutral Gov_Responsibility
BBCA,High Gov_Responsibility
BBEU,Low Gov_Responsibility
BBH,Neutral Gov_Responsibility
