Category,Ticker
Large Blend,SPY
Large Blend,IVV
Large Blend,VTI
Large Blend,VOO
Large Growth,QQQ
Foreign Large Blend,VEA
Foreign Large Blend,IEFA
Diversified Emerging Mkts,VWO
Large Growth,VUG
Diversified Emerging Mkts,IEMG
Large Growth,IWF
Large Value,VTV
Small Blend,IWM
Small Blend,IJR
Mid-Cap Blend,IJH
Foreign Large Blend,EFA
Large Blend,VIG
Large Value,IWD
Technology,VGT
Mid-Cap Blend,VO
Foreign Large Blend,VXUS
Technology,XLK
Small Blend,VB
Large Blend,USMV
Large Growth,IVW
Large Blend,ITOT
Large Value,VYM
Foreign Large Blend,VEU
Diversified Emerging Mkts,EEM
Large Blend,IWB
Large Blend,SCHX
Health,XLV
Foreign Large Blend,IXUS
Mid-Cap Blend,IWR
Financial,XLF
Large Value,DIA
Foreign Large Blend,SCHF
Large Blend,QUAL
Large Blend,VV
Large Value,IVE
Consumer Cyclical,XLY
Large Blend,SCHB
Large Blend,RSP
Small Value,VBR
Mid-Cap Blend,MDY
Mid-Cap Growth,ARKK
Large Value,SDY
World Stock,VT
Equity Precious Metals,GDX
Large Value,SCHD
Industrials,XLI
Mid-Cap Growth,IWP
Large Value,DGRO
Europe Stock,VGK
N/A,DVY
Small Growth,VBK
World Stock,ACWI
Mid-Cap Blend,VXF
Japan Stock,EWJ
Consumer Defensive,XLP
Large Growth,SCHG
N/A,ESGU
Equity Energy,XLE
Large Growth,MTUM
Health,VHT
Small Blend,SCHA
Communications,XLC
Utilities,XLU
Small Growth,IWO
Small Value,IWN
Mid-Cap Value,IWS
Large Blend,GSLC
Technology,FDN
Foreign Small/Mid Blend,SCZ
Mid-Cap Value,VOE
Foreign Large Blend,EFAV
Large Blend,IWV
Large Growth,IUSG
Health,IBB
Mid-Cap Growth,VOT
Large Value,FVD
Foreign Large Growth,EFG
Large Growth,MGK
Trading--Leveraged Equity,TQQQ
Large Growth,SPYG
Large Value,VLUE
Health,IHI
Foreign Large Blend,SPDW
Diversified Emerging Mkts,SCHE
Large Blend,SPLV
Mid-Cap Blend,SCHM
Large Value,SCHV
Mid-Cap Growth,IJK
Large Blend,SPLG
Large Value,IUSV
Health,ARKG
Large Value,SPYV
Foreign Large Value,EFV
Large Blend,OEF
Financial,VFH
Miscellaneous Region,EWY
Large Blend,NOBL
Large Blend,FTCS
Health,XBI
Technology,IYW
Latin America Stock,EWZ
China Region,MCHI
Small Value,IJS
Japan Stock,BBJP
Equity Precious Metals,GDXJ
Technology,SKYY
N/A,ESGE
Technology,IGV
World Stock,ACWV
Large Value,HDV
Foreign Small/Mid Blend,VSS
Consumer Defensive,VDC
Pacific/Asia ex-Japan Stk,AAXJ
Large Growth,VONG
Mid-Cap Value,IJJ
China Region,EWT
Foreign Large Value,FNDF
Large Value,FNDX
Technology,FTEC
Technology,ARKW
Small Growth,IJT
Natural Resources,XLB
Europe Stock,EZU
Large Blend,DGRW
Technology,IXN
Diversified Emerging Mkts,SPEM
Large Growth,VOOG
Technology,SOXX
Consumer Cyclical,VCR
India Equity,INDA
Miscellaneous Sector,ICLN
N/A,IDEV
Diversified Pacific/Asia,VPL
Large Value,PRF
N/A,BBCA
Utilities,VPU
Large Blend,SPTM
Energy Limited Partnership,AMLP
Diversified Emerging Mkts,EEMV
Large Blend,MOAT
N/A,ESGD
N/A,FXI
Europe Stock,IEUR
Trading--Leveraged Equity,QLD
Technology,SMH
Industrials,VIS
Foreign Large Value,IDV
Foreign Large Blend,ACWX
Foreign Large Blend,DBEF
Small Blend,FNDA
China Region,KWEB
Large Growth,ONEQ
Diversified Emerging Mkts,FNDE
Miscellaneous Sector,TAN
Natural Resources,GUNR
Large Value,MGV
Large Growth,IWY
Europe Stock,BBEU
Mid-Cap Blend,SPMD
Diversified Emerging Mkts,XSOE
Large Value,VONV
Technology,QTEC
Equity Energy,VDE
Large Blend,MGC
Communications,VOX
Small Blend,SPSM
Small Blend,VTWO
Technology,IGM
Trading--Leveraged Equity,SSO
Infrastructure,IGF
Technology,CIBR
Foreign Large Blend,BBIN
Miscellaneous Sector,XT
Foreign Large Growth,VIGI
Foreign Small/Mid Blend,SCHC
N/A,ESGV
Miscellaneous Sector,JETS
Miscellaneous Region,EWU
Industrials,ITA
World Stock,IOO
Large Blend,USSG
Large Blend,SUSL
Small Value,SLYV
Large Growth,RPG
Miscellaneous Region,EWC
Mid-Cap Value,DON
Foreign Large Blend,IQLT
Large Blend,DSI
Miscellaneous Region,EWG
Large Value,DLN
Technology,FXL
Pacific/Asia ex-Japan Stk,AIA
Miscellaneous Sector,PBW
Large Value,SPHD
Financial,KBE
Health,IYH
Health,IXJ
Health,FHLC
Large Blend,SPHQ
Foreign Large Blend,HEFA
Miscellaneous Sector,BOTZ
Large Growth,PDP
N/A,SPYD
Large Growth,FV
China Region,ASHR
Technology,RYT
Equity Energy,XOP
Natural Resources,VAW
Foreign Large Blend,GSIE
Foreign Small/Mid Blend,FNDC
Large Blend,SUSA
Infrastructure,NFRA
Trading--Leveraged Equity,FAS
Foreign Large Blend,RODM
Pacific/Asia ex-Japan Stk,EPP
Trading--Leveraged Equity,TECL
Health,FBT
Consumer Cyclical,ITB
Mid-Cap Growth,MDYG
Technology,HACK
Large Blend,VONE
Large Growth,FPX
Europe Stock,HEDJ
Technology,ARKF
Small Growth,SLYG
Financial,KRE
Miscellaneous Sector,QCLN
Trading--Leveraged Equity,SOXL
Europe Stock,FEZ
Mid-Cap Blend,JHMM
N/A,JKE
Large Value,RDVY
Trading--Inverse Equity,SH
China Region,GXC
Trading--Leveraged Equity,UPRO
Diversified Emerging Mkts,GEM
Large Blend,USMC
Mid-Cap Growth,KOMP
Miscellaneous Region,EWA
Miscellaneous Region,EWL
N/A,BBAX
Large Blend,XLG
Mid-Cap Value,XMLV
Diversified Emerging Mkts,DEM
Small Blend,PRFZ
Diversified Emerging Mkts,DGS
Energy Limited Partnership,EMLP
Foreign Large Value,VYMI
Trading--Leveraged Equity,SPXL
Technology,ARKQ
Energy Limited Partnership,AMJ
Option Writing,QYLD
Europe Stock,IEV
Miscellaneous Region,RSX
Japan Stock,DXJ
N/A,ROBO
Large Value,VOOV
N/A,VSGX
Latin America Stock,ILF
Small Value,DES
Technology,CLOU
N/A,JKH
Natural Resources,LIT
Industrials,IYT
Mid-Cap Value,MDYV
Small Blend,XSLV
Trading--Leveraged Equity,TNA
Foreign Large Blend,CWI
Health,FXH
N/A,EWH
Large Blend,IYY
Large Value,QDF
Financial,IYF
Large Blend,FLQL
Diversified Emerging Mkts,EMQQ
Large Blend,SCHK
Foreign Small/Mid Value,DLS
Large Value,FDL
Large Blend,TILT
Trading--Inverse Equity,SQQQ
Technology,TDIV
Consumer Cyclical,FXD
Small Blend,SLY
China Region,CQQQ
Financial,KBWB
Miscellaneous Region,EWW
Natural Resources,PHO
Consumer Cyclical,XHB
Consumer Cyclical,FDIS
Mid-Cap Blend,BBMC
Natural Resources,GNR
Technology,WCLD
Industrials,XAR
Consumer Cyclical,IYC
Industrials,IYJ
Diversified Emerging Mkts,PXH
Financial,IYG
Small Blend,VIOO
Large Growth,QQEW
World Stock,URTH
Trading--Leveraged Equity,NUGT
Health,IHF
Diversified Pacific/Asia,IPAC
Utilities,FUTY
Large Growth,FTC
Mid-Cap Blend,IVOO
Large Value,RPV
Foreign Large Value,PXF
Large Blend,SIZE
Financial,EUFN
Miscellaneous Sector,IPAY
Consumer Cyclical,IBUY
Technology,FINX
Technology,PNQI
Large Value,SDOG
Large Blend,FEX
Equity Energy,IXC
Equity Precious Metals,SIL
Large Blend,JHML
Small Blend,IWC
Large Value,PKW
Foreign Large Blend,JPIN
Trading--Leveraged Equity,FNGU
Health,PTH
